"","p_cntrl4224","p_cncr8407","p_cntrl6764","p_cncr3273","p_cntrl1262","p_cncr8861","p_cncr5984","p_cncr8964","p_cncr7142","p_cncr1466","p_cntrl8055","p_cncr5423","p_cncr4352","p_cncr5461","p_cntrl4503","p_cncr5996","p_cntrl6350","p_cntrl2055","p_cncr9392","p_cncr2497","p_cntrl3871","p_cntrl9527","p_cncr8117","p_cntrl3797","p_cncr2900","p_cncr4395","p_cncr2896","p_cncr3688","p_cncr3488","p_cncr5857"
"01100110101011111001",7911823,121799,1251,30605,622,21223935,6759,31132,1691,1145,2775388,1165,310363,901921,952985,451,213582,20418,2739,225650,205274,3693,1064116,775112,44139,190590,1947332,93884,17063,26770
"00001110000010010111",50,526,10866,3422,912689,10126,17,227,1674,896477,3864,1024,1046,4639,201,2516,75453,1225,1678718,600,123,7320,5790,29279,154788,1798,174,2598,1538,136277
"11010010001001100111",174916,24747,1530,131326,12095902,579982,467841,651024,270,13479,13571,946638,75798,620581,17228,19684,195108,446076,158141,63489,4825,36254,9299,172399,3585,70500,30978,88462,61759,1626909
"01110111101011110001",4965375,11501,4903,110620,2728,8142472,4387,2960213,529,1347,2432124,49170,10514981,5659752,718910,2911,497633,433044,7253,629166,22703,628,17643030,892055,118462,18982,1418207,82843,67038,133463
"11001000101100100000",36719,203065,137362,67227,29921,3046,1983015,188503,164,31891,6493,11166,484318,36862,198558,103002,3137724,240070,4365,1555,40914,58379,165,41988,165152,1007342,442831,3911,225972,140803
"01110111001000111100",224272,36584,682659,6603,419,3716018,6688,785154,253,23647,504561,510600,58090,1944887,16754581,2026,34168,80600,1348767,120704,1972,684,314547,93039,1794,28272,9328,107952,660978,80219
"10111111110101110100",1133639,109794,48388,2322398,11893,30111,104840,301947,830533,1278980,660063,2222310,373793,764043,1046529,13507129,27575,49118,143292,9356,73153,1694,60989,460530,8102,257,981,424579,246945,168429
"10000000111101110000",106686,24852,144544,1034699,78377,77813,1162087,104469,3088,9490,16913,528417,222359,242781,111064,254848,28306,1281690,255093,317,59347,51389,6437,144955,61251,10195,314376,2894,340591,59573
"01000100110111110100",833621,24124,301893,99860,25758,14207,40360,39534,200421,67684,98333,131262,2204311,191329,140824,65135,33816,27596,63190,2691,679744,2580702,188283,82649,9776,2478,44754,890012,365192,6201
"11101001111001011011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11010110010010101001",285396,3760343,26015,161573,35678,2763761,1694,6820,941,315761,2066261,18691,4442032,7794,384729,210,130378,601,75637,1681127,108928,3406,33232,17277,435549,4814,6494,783763,49689,132128
"11111011100001110000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01110100110111101100",5388690,1045634,4675,295554,2727,7425,182644,27142,1732639,42415,15032,13955,867250,156326,1582582,63854,3651,3269,8663,246914,316337,453499,138881,40479,9367,26014,3537,20237379,600822,6513
"10101101001101010100",271590,5208,6186265,1806761,19068,1113,876347,87348,1117973,1150590,5895,4255164,6400,5825783,153377,1340593,178119,19527534,136350,302,13143,41184,236301,825519,255,99030,693187,649,34161,352936
"00101010101010111011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11111001001110000101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00010010000110011100",289,3393,37360,381,14477,4138,2359,3,460,308706,40,1381,582,15432,15073,1401,2668,785,21664947,825,1,526,146,22455,881658,814,24,2523,7853,21602
"01111101111001001000",444018,1814500,4142,1307894,1331,67569,120314,2145066,43751,2639,190568,33627,711092,138418,4864080,31753,63389,28616,7796,7062639,3951861,33935,236656,42142,21228,1250316,31134,480877,69800,32121
"10110011011010000110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11011101001110001110",51717,461546,2308873,97149,215225,775,598154,15532,235550,701713,2245,462775,90115,9452,55431,34705,1044591,90072,99264,150715,2048,57489,57965,185954,18798,7243742,2131,757175,24705,405618
"10011110001101010110",462073,210723,57819,1115962,294552,5547,1207279,10841,451134,5006307,12585,5951387,6797,197415,1356,86642,719659,277488,3897225,862,764,16354,16020,2980039,1653,54022,5496,102856,14175,724019
"11011110110111000111",790280,2719402,829,1912871,1789074,2683,140421,12103,3801138,827299,367764,148092,935862,4586,1131,128553,850808,1666,29462,297063,176265,389900,28041,451027,259864,69605,1571,12022802,12200,110703
"10011110100010001110",11089,56221,112,123971,624680,607,36178,90,3029,117522,4988,1307,4648,1028,2191,65000,17829,26,68668,4142,160,885,150,6762,372301,9608,1,193404,1580,307581
"11010101000011001011",718,64031,6694,25811,445023,6709,37703,423,787,15338,360,1176,170810,8677,17379,1308,6114,12382,77885,256356,3051,11609,29003,1642,220255,54764,118,6310,33,88425
"10011110101000101110",1501657,391607,1354,833581,181674,98838,586309,221808,3585,185254,351931,111800,41450,12607,54178,340793,475917,1606,28952,48918,20930,10539,1808,92089,31582,305815,85,3297496,617288,442957
"11100001110100010111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11110001000011111011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11100110110011100011",547209,349468,221,2141077,336949,296231,35728,58946,62208,6408,4663247,27185,3116045,60666,54404,12278,53415,28960,2860,95676,3892443,25750,237704,365238,27737,12180,66832,939373,13245,267531
"10010101110100111111",10671,243847,2439090,129841,21976,135038,36811,474724,162880,1173947,800399,672434,636258,6828,43493,2172375,37594,6741,2180560,78924,100551,565576,415735,5449,1209594,41146,37,360644,4798708,6300
"00101100111001001110",202232,120276,702,4397504,83311,10648,184272,245831,4620569,13289,47709,56610,2856,45562,57746,537479,15384,19200,17917,77271,4422568,2141193,68580,163060,1245,2465660,3864,1177370,350882,42914
"10111001101100110111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11111111110010000000",538984,643110,9327,3720751,18478,9584,22418,140374,32028,41385,10227393,326537,11669742,76438,478795,45040,755534,5977,7223,245834,167374,245,120057,154052,140609,6634,39634,289005,58289,1356280
"10011000000001101100",3101,8760,1037,35061,1666236,3558,85421,902,272,121048,7,1301,1456,136020,156267,762433,1319,1566,41720,1709,647,2046,26,605,2338,574,49,2873,2069,720865
"10111110000100001110",285,673880,2306,29891,14757,95,57943,28,27912,4573083,123,1556,104,1717,9121,19513,1736,727,3233748,862,15,919,27,11780,30491,22834,1,20612,960,79450
"01100011111010111111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10100011000101111101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00100010110001101010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10001000100001011011",127,34364,432,12997,323435,18413,41058,299,1477,9354,1337,137,1622,13161,1065,325336,39273,950,60979,978,14267,9329,519,2016,279940,52876,916,101,218,112928
"11101100111110001001",194443,9921517,36317,988854,2199,7733,18908,14850,168426,36887,343252,2371,137516,2955,79441,3414,438533,4997,3423,113272,169813,45559,51908,58502,911609,10584857,1182327,44973,31108,24943
"10000111001011010111",311364,303,270528,904627,6028570,306727,54052,30251,51577,97196,314546,8589290,46938,794183,4943,37922,482231,4905504,279929,12661,11821,43173,3567874,4252601,8831,45558,70474,9343,11706,986757
"11010001000101111010",20,113620,156606,328,47753,15907,301977,349,101,15831,12,3431,24706,27811,331103,18415,903,68581,5116366,2887,124,696,399,2859,34314,4164,25,1826,122,64110
"11011010101011110100",25785617,16844,1166,238126,1826280,386955,184181,254070,828,2566,171198,768777,426335,5108405,76214,305023,1738091,13484,6088,3575,1898,129,26456,716701,2016,2747,1213748,178975,36989,13313663
"11010011101001011011",115723,295848,4463,33421,61618,5891930,1678870,123031,509,730,1317070,273669,357106,246972,61713,22741,1152358,80502,217540,1080949,36264,3167,125327,267161,472406,1551888,26875,13470,8957,203770
"01110001000111101011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10111000001010110011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11010101111111100010",277627,258998,58270,2540283,505524,10959,1707818,726846,20850,6049,17465,934562,27854056,15329,175987,41062,39358,1315193,33380,183329,87103,74833,266637,263384,153182,119818,4346,4230826,37679,102319
"10000110010110011001",32735,759664,1758197,124273,4430,250641,3101,42,132885,7115325,1137882,35602,92364,3951,22455,567,210917,5127,2015843,20708,28789,21266,37716,286516,2505339,14308,14314,11095,27217,14484
"10000010111111100011",45382,22422,1028,907599,6006904,221635,176051,9733,11926,12119,15515,35031,265772,5935,10906,39132,73513,633782,25637,58515,42736,65728,5576,4281840,3082422,82046,11387,224062,49523,121054
"01101101111110010111",2864,23349,941833,65125,31358,10269,498,1670331,968486,25392,384296,183169,100569,17231,10034,63471,512672,142252,171804,39402,29716,246387,8130097,357218,151834,2061755,213306,135469,398353,30640
"11100000000101110101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001110110001011111",54697,1276325,2073,29936,43752,1104299,5632,23976,454300,91673,13311331,16749,37742,9633,17127,41630,404901,187,176239,686026,21121297,1672815,48784,105479,30277,179150,1129,2033194,23217,8708
"00110000100111100011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11110100101111100001",21822568,503676,3912,2984793,7471,10980,917597,408579,11906,12762,24400,18250,5786983,822835,52975,9469,277434,536932,977,24944,13356,29213,612501,108390,95585,394231,4991144,51367,55934,90180
"10111000001100000000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10010100111100101101",648391,547919,105233,2072503,14533,50110,120902,605372,6306,326942,120423,102578,182168,4613,75884,91319,21733,5537,182318,84921,28572,1300478,13309,3217,2138518,349627,820,256382,9137606,3226
"10101101110101010110",30585,45920,349149,3763833,82149,567,745910,128586,70151735,568314,162645,4014755,44792,229034,25403,42333721,50518,398156,192888,951,1005598,342617,320887,320384,1902,28993,5059,44594,113979,114786
"10111110100010110100",72089,4066,615,164698,47340,4842,831,4848,337,55281,29046,6407,16205,241364,17599,163361,8071,229,58864,33,12,5,3589,6871,16491,25,773,7272,9088,1980973
"10100001110101110111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11100000000100111000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101110000010001110",185,37565,845,1600,50474,1253,733,33,4926,54183,718,116,308,3095,41810,609,4418,304,130981,6626,435,1960,330,24543,4989,37404,41,79235,269,123807
"01001100001110111111",6721,152039,2072374,1254,34685,178666,622,21343,56303,773084,8037,4065,17505,8496,15933,2653,1557220,16037,135508,32396,8404,392318,243323,179801,22044,3002023,45418,394766,77638,33722
"00001110010111100011",4252,119328,9101,123915,718942,101532,851,1452,1068781,13755242,6894,2008,325770,1907,13258,7918,301503,79244,36525,566936,1242701,613072,16292,4622875,344753,11820,736,3433348,14716,38686
"11011110110100001010",29135,344723773,7073,200265,4783,5481,748673,2317,122813,1050748,1009633,21843,518326,224,33955,10843,601555,200,390879,318028,304530,43988,363,63444,1195878,584454,52,5237993,25725,20180
"00100111000110011010",11,7162,210780,554,900,4806,1380,4,6698,218419,354,365,1289,3200,95750,398,1383,42997,8054256,2526,39,442,4545,223498,610857,12074,10,2448,403,8960
"00000001010111100100",7426,147,1640864,83182,2341959,6675,46140,12380,216359,423966,138,271576,327913,274666,1333073,973742,9034,5287973,53493,52563,209088,2268876,24518,487991,22197,1557,2481,113429,1002906,48521
"11001010001101110110",20899,59927,89823,11019,1558456,66149,616090,14714,7410,132602,3134,618564,5212,262730,46196,93955,452261,770467,563633,543,2886,8446,769,3140309,374,47477,49480,48398,5644,1435187
"00111110111000001100",1005195,458824,795,2272935,2971,58451,12598,248667,47438,63377,1059629,73714,10152,28811,260888,36748,48237,695,114157,306166,44509,12588,10956,91705,57779,187848,1232,1301461,3228173,42950
"00001010011100001010",113,609349,43346,14621,61843,51211,21010,537,29998,598173,1786,7789,1691,337,60409,2303,165691,45603,2842840,223821,25104,86147,99,2077549,714060,2089958,268,177265,90702,29307
"00100011110010001000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11011000101010000010",125458,183917,3020,684160,2076546,2404,809916,270785,2689,2756,25896,179043,1222013,71695,1585,54283,14743181,31341,5838,8440,4794,4002,27892,93112,67020,1583896,1052183,42899,103906,10102615
"10001010001100101000",13749,268271,136840,22860,21907,88569,337720,662,544,1310468,1669,4376,7493,10429,1150369,14471,573289,117148,55121,15200,6427,3290,20,723150,182530,279870,4750,9074,50168,186841
"11110000111000111000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000101001100011010",699,36397,43473102,9640,1153,30632,160709,7068,26009,632777,7131,111148,26210,13949,87071,3250,263172,2756224,6946456,18279,20806,741368,113290,311802,184499,5328540,1821,5761,198291,4542
"10010000101110110011",37909,23836,80341,134356,276005,76508,73054,189392,2627,30313,14254,129419,941616,90083,573,78593,2151363,267924,152566,1285,197,6527,373297,159766,2648884,170282,392141,7273,1370270,521979
"10011111100001101111",3533,16915,117,44631,843303,48318,30089,8078,497,115607,4194,548,16796,3777,77714,1370337,4672,587,19028,327859,11851,6946,345,3599,530920,5922,0,152751,776,47959
"01011010111011010100",1658971,23309,868,233931,859841,278195,8115,186798,9855,1553,296100,894769,180003,607063,26262,33774,534163,3940,114142,49706,8090,1855,72417,945705,13059,5720,451060,671556,103490,1118734
"01100001011010111111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01111011110001011100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00111110000110011111",103,78953,4344,1244,6885,4425,50,25,83470,3206536,361,163,180,3122,987,1933,9604,215,5044061,4697,4,535,7804,46577,334727,12536,22,24673,1438,34647
"00000110011001001000",190814,128771,10880,909871,13338,590491,93194,2398,6683,80341,76115,45099,23171,20151,743617,319,14608,96341,436643,483449,1392044,346841,3552,503618,39867,110473,2607,117193,35272,8586
"00101101011101011110",2928,57109,1353613,140647,15820,19360,24361,36268,22280266,410499,3756,500489,974,70613,266696,241172,9658,933209,2183993,39281,133789,330639,435954,1247101,813,683700,2488,159857,60457,26680
"11100010101110100101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00011000001001111101",153192,10677,24952,23501,162517,3918733,3819,476004,5298,145861,2484,28718,9282,2686575,67759,219292,462462,26704,68710,98764,16108,37050,124081,42783,3863,52360,167731,14804,615408,345429
"01001101101101001111",29885,141145,72790,24310,25621,7356,920397,159454,266328,100726,11626,5001,51278,7235,85162,208035,1098299,157976,7341,3606514,3796727,98293086,32773,159911,248958,202867522,1057,403191,35067,1488
"10101000011010001100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00111111101100110011",6356,92065,50629,31321,960,439613,2172,2619877,7778,447532,306818,17969,337304,43421,37498,60368,2213848,321093,243275,132698,3584,2527,454074,1287864,2492468,318165,3670,87008,833204,38680
"10010111001110111001",183186,80502,4065477,36834,3467,3166117,6905,5532,893,1388700,113558,71775,618127,42183,401418,1327,525037,192056,493394,209559,383,465,276165,622988,3815603,39874,8035,21578,61307,68663
"10010110011101011001",395335,4695643,92478,1016551,3617,1263000,63760,2105,28404,1022033,237182,291201,39676,23186,31098,552,47419,36106,9987294,114888,9279,14579,38723,305503,503097,54748,12741,22292,12690,11858
"11000001111111011000",118208,103108,780482,105592,31150,74684,1616817,4234,20188,801,40689,291304,481557,82327,1124346,33142,62880,349169,79804,42936,87662,16751,66753,379102,236833,350186,375761,11225,9375,44896
"00100100100000011010",118,26929,4591,8839,461,3428,12035,688,1284,6745,7539,253,1973,14211,8725,5387,1978,1645,1118750,159,2618,12736,5485,1166,95081,52574,166,480,11344,5981
"11011001000011110010",77,3993,16703,3450,8185052,15563,4846,5010,120,5431,47,10421,185611,214733,33247,77050,20790,51447,128459,1160,141,22,8989,9754,3515,199,2509,2479,61,14458074
"11011011100111111110",999,35310,1663,453,636623,14130,72327,134,1136,9158,192,1462,14294,10975,194721,576309,5666,804,130862,11007,52,57,183,61697,120369,1639,3,232242,84,302675
"01000100011010001000",49689,210304,377876,161790,13144,76678,7362,8816,2860,13573,67242,28406,254947,8455,343910,45,75545,24080,133339,183697,244634,279787,61568,36830,50682,674654,160803,103785,104822,23203
"01111001001101100000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000000100101001111",246,58773,1163,3669,304062,283,3239040,128,1743,6936,76,236,1363,2868,4346,98546,2474,3705,108710,2975,4454,2637770,31,925,475752,883899,46,1368,508,2817
"00000100000010011000",382,3307,196555,4455,3679,7828,766,22,244,87810,789,303,7051,16673,19838,220,5945,2116,1017499,329,478,5797,5196,1995,145679,2959,1161,236,2307,16226
"00101000001100010111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11101010101011100001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10010000111001100111",185884,8137,769,7840597,32736101,149731,351031,14028653,6112,3739,26427,2095141,196143,179938,4018,2316298,25933,155091,70168,31299,77768,578955,71713,19095,36504,46025,12392,140454,3389368,458773
"01010110101011000010",4067730,131361,206,740936,117820,33936,1162758,53324,4600,2766,157623,88367,3090055,95149,7469,706,1088719,85896,20658,246147,46917,67507,123625,1557975,87529,530123,26371,2331212,23389,141307
"01011101111000110110",9605,34618,383267,87463,143452,223975,2050,193173810,2143,10461,988900,2752449,1482818,40395,105221,248363,260658,21532,757902,57950,88913,50251,787460,15440,12175,41556,2733,1974352,3612285,147861
"10101100000111111010",454,130984,12399,14290,27601,1931,9977,11,123609,378593,21,139,1067,20627,30188,24385,1327,13115,88474,78,355,240,2811,50870,1994,2893,536,5023,32,307421
"11011100100000100100",11453,39746,3180,84840,104358,308,35772,122188,12,42921,3803,2810,155837,20978,34299,142260,16897,261,23274,286,1197,7189,95,55,26954,1417,153,8496,14927,126258
"01101111110101110101",44713,64686,86223,24565,2504,298973,1765,568286,162758,310145,1871991,27044,357160,178208,1978392,413615,93775,44584,44730,214084,2689454,149726,112755,352669,46355,6332,7592,289854,115019,4887
"11010111011000010000",49150,207303,2926073,552150,13201,597578,19532,510076,91,30498,7335125,28969864,1645286,110841,336196,388,178499,216786,18668158,25449,5582,542,127816,67366,49835,6074,65800,8351,60669,295748
"11111000100010000011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00110010111001100100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000001010100110111",62,11504,48452866,4886,906685,77263,9083,347323,9191,286166,39242,2372418,188677,36969,57529,295741,73322,692472,6633657,4604,37853,496187,59435,17049,38997,15829,8935,5830,645427,75379
"00001001011011111010",1048,3789,188449,22202,2494929,5001319,1241,38130,54444,9312,1835,61627,51025,79096,720342,101131,66126,493393,84974,309564,256910,4166,414601,1844943,5454,28775,19242,219539,30002,1431916
"00000001100000001100",92,102,31985,3048,37990,994,86877,1693,39,5244,254,732,3654,17209,378956,345051,1937,7433,113598,7208,4985,307997,79,415,1349103,35659,7,258,112292,3456
"00100111101100111001",35708,37243,475025,8480,24,3095840,9069,69019,1062,102412,856140,2418,96205,58474,3277759,6637,167136,305789,116881,192080,34198,17408,101840,484660,6249110,717540,6316,7316,804372,1073
"10111011101111010010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00011001001001101001",18439,11220,28909,35605,113874,2463409,14691,654062,940,102446,645,3894,204906,429633,1436620,129707,713507,522316,5031,12230170,262191,46783,45287,76741,141809,359689,19900,14707,192967,182923
"11000100100010010010",828,16310,21461,30822,90569,608,35132,802,115,2324,26621,5848,151935,10221,776,1944,32190,2893,327211,18,647,3892,7372,1288,98183,8031,5924,543,610,139728
"10111001011101100111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000101100100101100",232,980,312289,2148,1943,596,61276,1481,109,191602,135,143,15262,1907,1853453,145790,597,10602,121727,6474,5696,1320225,61,563,3023273,23407,0,6636,92624,181
"10011010110011101001",1261238,489087,80,937708,919849,2445828,14976,6424,23214,74847,218211,3199,1268504,35124,161937,353239,372691,413,994,3212530,797065,1496,6437,181651,1179631,3158,5484,860147,47399,828652
"00100001101111110110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10110011111000001001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011000010110111010",319,3933156,401723,999,42758,158419,771,3405,113650,401697,2177,8886,300517,5556,57206,6260,340358,1639,1250213,77491,8165,3741,31900,105525,48984,22023,6270,1824717,119816,285701
"10011110101100001011",113359,12214854,3552,454925,6976,22889,616726,8473,23140,1737380,205611,5657,64352,737,2675,14079,5568020,4116,84528,356193,14764,63453,1985,252823,15807692,19144735,432,182105,66516,22166
"01000110000111001010",248,197341,2132,953,16946,1333,75954,1,2717,93929,39,36,5344,550,39773,33,2117,7252,512080,26444,1552,62716,63,121066,258869,74216,7,89603,14,2731
"10001110001110011100",689477,86922,1571037,119006,19409,16301,54229,130,120276,4808279,51008,163962,2630,33448,37724,8461,1094535,16766,345712,1213,707,4114,6119,2095818,21154,135488,28511,24993,20544,230235
"00101110000111111010",177,71595,1647,1039,5629,21408,742,3,39039,507687,43,18,586,7341,86885,1820,1456,5442,268368,1467,289,175,814,605781,13792,1744,32,54585,39,50866
"10001001001110010000",5028,2077,33852635,87855,159393,4078,66998,5674,12442,408538,1826,534461,89759,283684,39654,105565,5688546,7112472,125615,651,825,1955,45057,1272086,104162,104934,2484118,150,52571,1997076
"00110000100000111001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10110010100111000010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101101000110110000",22,4833,2241552,427,1171,1423,96,1249,334,172243,116,168,56970,38396,705023,1997,10917,87130,147166,379,166,288,7961,11337,36744,1203,5301,676,684,47148
"11111001101100001001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11001100111000011010",22956,8335588,105456,368512,18023,107900,75117,145633,11274,7253,6068376,177458,98694,3552,20916,9500,636975,1765,341401,6540,796673,30335,34016,16738,20207,1943706,66047,66088,33821,129287
"00100000101110001011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000001011011011101",72907,3807,1365997,101458,2067358,1419055,16118,44022,12715,1747,82253,2243937,45586,727204,348941,26578,45634,272708,171101,135016,68097,37150,1295712,82939,7014,86801,1965264,3480,17433,406350
"10100100100100000000",1300,25114,18346,361428,908,11,755630,417,687,103970,733,791,12760,13438,13398,19942,2586,44370,126851,17,645,35721,107,1109,637213,23162,843,45,9020,5231
"00100001011000011000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11011011000010011111",31,11752,17500,329,2078204,70495,305,267,180,30510,2639,4729,2947,8553,8530,12985,57836,316,1642804,29793,13,35,2699,7664,230999,5273,81,3182,175,1755123
"10101011000011110101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01010010000011001111",423,9505,67,807,2288615,30791,4743,52,440,7029,70,290,2226,12559,5198,691,3325,740,418188,260513,147,14420,686,13344,145006,18107,30,53769,289,68296
"11000111111011100101",4115621,2693,14755,2206090,2399168,904371,36445,1266170,804,2536,3331371,640441,3507729,92045,1173492,40933,49387,231952,3484,672009,986705,113006,156443,250936,120673,15630,26265,518080,51393,82651
"11011111000111101111",699,114918,4118,1983,936066,9700,6622,122,2873,742178,79,280,17229,1234,123325,15852,5072,2246,64747,475178,328,2500,438,28625,209059,9272,1,618633,22,65612
